,epoch,train_loss,val_loss
0,0,5.950980638464292,3.919215100152152
1,1,3.430284395813942,3.7623586654663086
2,2,3.2023727049430213,3.3851287024361745
3,3,2.932537247737249,3.209776912416731
4,4,2.8015595227479935,3.2887413842337474
5,5,2.686665823062261,3.100290605000087
6,6,2.5864965468645096,3.2190492493765697
7,7,2.4945209125677743,2.804258005959647
8,8,2.3998524943987527,2.672434091567993
9,9,2.224411932130655,2.7673159326825822
10,10,1.8944062317411106,2.0693943330219815
11,11,1.4730798912545044,1.830033574785505
12,12,0.9633570685982704,1.4376608984810966
13,13,0.6684164044757684,0.9935450979641506
14,14,0.4842689794798692,0.7324422342436654
15,15,0.3715529618784785,0.6297969903264727
16,16,0.32354232482612133,0.9930911362171173
17,17,0.2488669032851855,0.5199215497289386
18,18,0.21318681507060924,0.47845527103969027
19,19,0.17015495554854473,0.5054148009845189
20,20,0.14913603647922477,0.3846487807376044
21,21,0.10799487579303484,0.3766260700566428
22,22,0.09785334719344974,0.6435277717454093
23,23,0.10588106986445685,0.3457294596093042
24,24,0.11119351590362687,0.36075193754264284
25,25,0.20509998376170793,0.3474119710070746
26,26,0.08689811856796344,0.2697982043027878
27,27,0.04266551183536649,0.26821617569242207
28,28,0.031994222139474005,0.2943294963666371
29,29,0.024241118711264182,0.2631893413407462
30,30,0.016675450043597568,0.260825229542596
31,31,0.01223179068377552,0.26720517235142843
32,32,0.010344321742498627,0.26893030213458197
33,33,0.007314538083543691,0.2671780873622213
34,34,0.005848263128427789,0.2628324276634625
35,35,0.005307193224628766,0.27041031952415195
36,36,0.004576844114732618,0.2730768599680492
37,37,0.004266047025642668,0.27138055115938187
38,38,0.003825662946231508,0.27621813331331524
39,39,0.0035796832307823934,0.27846978179046084
40,40,0.003302962596838673,0.28179775178432465
41,41,0.003174879685199509,0.2831617710845811
42,42,0.0031977478308059895,0.28435018339327406
43,43,0.002792572347971145,0.2882804668375424
44,44,0.002558353131462354,0.2876317522355488
45,45,0.0023589215100704073,0.28881511624370304
46,46,0.0021954810411746926,0.29234752165419714
47,47,0.002090181738215809,0.290438674390316
48,48,0.0019041562736674678,0.29714958582605633
49,49,0.0018045609431283083,0.2968487824712481
